TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;12.987.909/0001-64;2022-06-01;28485239.00;1.038631180000;28480860.31;0.00;0.00;0
FI;12.987.912/0001-88;2022-06-01;31247743.27;2.708668000000;31289424.32;0.00;0.00;5
FI;12.988.353/0001-20;2022-06-01;63302188.72;3.078833980000;64166488.49;0.00;0.00;3
FI;12.993.335/0001-37;2022-06-01;18313113.16;241.517866567000;18310148.91;0.00;0.00;0
FI;12.993.338/0001-70;2022-06-01;43543779.12;233.939192600000;43567036.04;0.00;0.00;1
FI;12.995.157/0001-83;2022-06-01;27118303.51;2.291293780000;27663796.49;0.00;0.00;1
FI;12.995.169/0001-08;2022-06-01;80881743.76;313.523563670000;80895101.97;0.00;0.00;3
FI;13.000.844/0001-84;2022-06-01;96421727.74;3.319269440000;96438585.83;0.00;0.00;1
FI;13.000.846/0001-73;2022-06-01;31483606.01;0.702140000000;31527638.54;0.00;0.00;1
FI;13.000.857/0001-53;2022-06-01;5008190.67;3.289889000000;4956808.38;0.00;0.00;11
FI;13.000.859/0001-42;2022-06-01;457776219.57;4.151019600000;457734467.60;0.00;0.00;318
FI;13.001.208/0001-77;2022-06-01;18458923.15;2.677479000000;18496156.48;0.00;0.00;1
FI;13.001.209/0001-11;2022-06-01;8621084.61;0.932333170000;8659538.15;0.00;0.00;17
FI;13.001.211/0001-90;2022-06-01;118283067.47;2.371716280000;122791344.18;0.00;0.00;243
FI;13.001.229/0001-92;2022-06-01;127358702.59;3.194142260000;127477654.46;0.00;0.00;3
FI;13.001.237/0001-39;2022-06-01;26860869.86;2297.680251000000;27327291.51;0.00;0.00;197
FI;13.003.672/0001-00;2022-06-01;14058514.67;1575.228386100000;14133624.33;0.00;0.00;1
FI;13.020.991/0001-16;2022-06-01;32727925.21;0.429395850000;32712020.31;0.00;1210.21;1
FI;13.021.486/0001-96;2022-06-01;433090086.74;2.330983810000;433108074.84;0.00;0.00;1
